".model","alpha","b[0]","beta","gamma","l[0]","s[-10]","s[-11]","s[-1]","s[-2]","s[-3]","s[-4]","s[-5]","s[-6]","s[-7]","s[-8]","s[-9]","s[0]","phi"
"additive",0.390103725761372,0.000518730091738609,0.000234461622708317,0.034116993989036,13.7411608773893,-1.65562041656305,-1.95410610802697,-0.843096462636061,0.167197783906709,1.04494873476814,1.64161227138507,1.80802504055691,1.58212504674813,0.891322011929739,-0.0831218368674527,-1.01184479086004,-1.58744127434113,NA
"box_cox_auto",0.434315092999054,0.0339968889450288,0.000319494626529104,0.000307490795143261,33.2951567929143,-6.11090451126266,-6.84926787084877,-3.2960602387179,0.536174417270346,3.83986570170355,6.12935702553129,6.79499469078145,5.88803002905712,3.25010509885656,-0.428594002651953,-3.8778364909912,-5.87586384872783,0.972238316044173
"damped",0.419517763609454,0.00574578446690868,0.000764319641791927,0.0139880347607922,13.6871891952514,-1.66770138094885,-1.88288624718087,-0.849969873326994,0.167371589616776,1.05210894961013,1.63323633715614,1.8006981636007,1.57588735612354,0.884101924522331,-0.0998374263553872,-1.01850490300939,-1.59450448980812,0.978055109387775
"ets_auto",0.43429815576311,0.00514132836192644,0.000635319023418191,0.00927214548384475,13.6611480992185,-1.66300194730214,-1.8776340340258,-0.854343168031271,0.168480382737511,1.04696441143154,1.63168099115959,1.79829838368106,1.57089485188937,0.885142966663189,-0.0936018258047143,-1.02229421507352,-1.59058679732481,0.978500600927534
"log_auto",0.414906932594774,0.000126258634740879,0.00020897376941559,0.019674064494861,2.60838718626619,-0.122837293864333,-0.14185253428944,-0.0584044543605611,0.016987505871532,0.0773149209272288,0.115654960168691,0.126168933834158,0.112131021662642,0.0665356413645817,-0.00271844647490061,-0.0718246650505506,-0.117155589789048,0.977743629943127
"multiplicative",0.265223214912295,0.00170178736819,0.00364786508180445,0.0760466796225762,13.6293317052629,0.878722161443837,0.8593751891499,0.940419774729783,1.01179356454779,1.07811076606974,1.11845231934734,1.13088223555774,1.1155742450917,1.06579252066964,0.988344831956831,0.927302115394826,0.885230276040871,NA
